Month,Tourists
2019-01,28609150
2019-02,25658219
2019-03,25892425
2019-04,26216826
2019-05,24572348
2019-06,22914989
2019-07,24064029
2019-08,23045161
2019-09,22694599
2019-10,26728810
2019-11,27194342
2019-12,29551092
2020-01,27877867
2020-02,18051790
2020-03,7221355
2020-04,304122
2020-05,735776
2020-06,4536076
2020-07,10052506
2020-08,11234164
2020-09,11436149
2020-10,13811577
2020-11,16441773
2020-12,15326957
2021-01,6789988
2021-02,8866026
2021-03,10799552
2021-04,6982570
2021-05,1373793
2021-06,1292035
2021-07,869248
2021-08,893565
2021-09,2198337
2021-10,4596227
2021-11,11271319
2021-12,15949621
2022-01,15864753
2022-02,15720390
2022-03,15929546
2022-04,17362379
2022-05,16893646
2022-06,17123179
2022-07,18767728
2022-08,18959300
2022-09,19107815
2022-10,20454535
2022-11,22691135
2022-12,25967362
